word		onto_global			onto_domain				second_feature
东方购物1高清			channel_name				东方购物1高清				channel
东方购物一HD			channel_name				东方购物1高清				channel
东方购物一高清		channel_name				东方购物1高清				channel
东方购物2				channel_name				东方购物2				channel
东方购物2HD			channel_name				东方购物2高清				channel
东方购物2高清			channel_name				东方购物2高清				channel
东方购物3				channel_name				东方购物3				channel
东方购物3HD			channel_name				东方购物3高清				channel
东方购物3高清			channel_name				东方购物3高清				channel
东方购物4				channel_name				东方购物4				channel
东方购物4HD			channel_name				东方购物4高清				channel
东方购物4高清			channel_name				东方购物4高清				channel
东方购物5				channel_name				东方购物5				channel
东方购物5HD			channel_name				东方购物5高清				channel
东方购物5高清			channel_name				东方购物5高清				channel
东方购物HD			channel_name				东方购物高清				channel
东方购物高清			channel_name				东方购物高清				channel
东海娱乐生活			channel_name				东海娱乐生活				channel
东海新闻综合			channel_name				东海新闻综合				channel
东海经济影视			channel_name				东海经济影视				channel
中华美食				channel_name				中华美食				channel
中国3D试验HD			channel_name				中国3D试验高清				channel
中国3D试验高清		channel_name				中国3D试验高清			channel
中国教育				channel_name				中国教育-1				channel
中国教育1				channel_name				中国教育-1				channel
中国教育一			channel_name				中国教育-1				channel
中国教育2				channel_name				中国教育-2				channel
中国教育1HD			channel_name				中国教育1高清				channel
中国教育一HD			channel_name				中国教育1高清				channel
中国教育一高清		channel_name				中国教育1高清				channel
中国教育2				channel_name				中国教育2				channel
中国气象				channel_name				中国气象				channel
中国达人秀			channel_name				中国达人秀				channel
中国金融台    		channel_name				中国金融台				channel
中山火炬在线			channel_name				中山火炬在线				channel
中视购物				channel_name				中视购物				channel
临沧一套				channel_name				临沧一套				channel
临沧2套				channel_name				临沧二套				channel
临翔区台				channel_name				临翔区台				channel
丽江公共频道			channel_name				丽江公共频道				channel
丽江综合				channel_name				丽江综合				channel
举案说法				channel_name				举案说法				channel
乌鲁木齐1				channel_name				乌鲁木齐1				channel
乌鲁木齐一			channel_name				乌鲁木齐1				channel
乌鲁木齐2				channel_name				乌鲁木齐2				channel
乌鲁木齐3				channel_name				乌鲁木齐3				channel
乌鲁木齐4				channel_name				乌鲁木齐4				channel
乌鲁木齐5				channel_name				乌鲁木齐5				channel
乌鲁木齐6				channel_name				乌鲁木齐6				channel
九江一套				channel_name				九江一套				channel
九江一台				channel_name				九江一套				channel
九江一频道			channel_name				九江一套				channel
九江2套				channel_name				九江二套				channel
九江2台				channel_name				九江二套				channel
九江2频道				channel_name				九江二套				channel
九江3套				channel_name				九江三套				channel
九江3台				channel_name				九江三套				channel
九江3频道				channel_name				九江三套				channel
九江4套				channel_name				九江四套				channel
九江4台				channel_name				九江四套				channel
九江4频道				channel_name				九江四套				channel
九江市电信1			channel_name				九江市电信1				channel
九江市电信一			channel_name				九江市电信1				channel
